Phase,Test#,Endpoint,HTTP Method,Test Case Description,Expected Result,Priority,Test Type,Status,Tester Name,Test Date,Notes/Evidence
Phase 1,1.1,/api/auth/login,POST,Login with valid teacher credentials (teacher-demo/Teacher123!),200 - Returns access_token and refresh_token,CRITICAL,Functional,Pending,,, Check token expiry times
Phase 1,1.2,/api/auth/login,POST,Login with invalid username,401 Unauthorized,CRITICAL,Negative,Pending,,, Proper error message displayed
Phase 1,1.3,/api/auth/login,POST,Login with invalid password,401 Unauthorized,CRITICAL,Negative,Pending,,, Proper error message displayed
Phase 1,1.4,/api/auth/login,POST,Login with empty body,400 Bad Request,HIGH,Validation,Pending,,, Validation errors listed
Phase 1,1.5,/api/auth/refresh,POST,Refresh token with valid refresh_token,200 - New access_token returned,CRITICAL,Functional,Pending,,, Old token valid for 15 minutes
Phase 1,1.6,/api/auth/refresh,POST,Refresh with expired refresh_token,401 Unauthorized,HIGH,Negative,Pending,,, User must re-login
Phase 1,1.7,/api/auth/logout,POST,Logout with valid authentication,200 - Tokens cleared,HIGH,Functional,Pending,,, Check cookies deleted
Phase 1,1.8,/api/auth/verify,GET,Verify valid JWT token and user data,200 - Returns user info with role,CRITICAL,Functional,Pending,,, Includes sub/role/username/year/major
Phase 2,2.1,/api/classes,GET,List all classes as student user,200 - Array of classes with pagination,CRITICAL,Functional,Pending,,, Check limit & offset params
Phase 2,2.2,/api/classes,GET,List classes with filters (semester/major),200 - Filtered results,HIGH,Functional,Pending,,, Multiple filters can be combined
Phase 2,2.3,/api/classes/:classId,GET,Get detailed class info (members/schedule),200 - Complete class info,CRITICAL,Functional,Pending,,, Includes students & meeting schedule
Phase 2,2.4,/api/classes/:classId/summary,GET,Get class summary (student view),200 - Attendance/grades/materials,HIGH,Functional,Pending,,, Stats calculated correctly
Phase 2,2.5,/api/classes,POST,Create new class as teacher,201 - New class created,CRITICAL,Functional,Pending,,, Auto-generated unique class code
Phase 2,2.6,/api/classes,POST,Create class as student (unauthorized),403 Forbidden,HIGH,Security,Pending,,, Only TEACHER/ADMIN allowed
Phase 2,2.7,/api/classes/:classId,PATCH,Update class details (name/room/credits),200 - Updated successfully,CRITICAL,Functional,Pending,,, Verify all updateable fields
Phase 2,2.8,/api/classes/:classId,DELETE,Delete class (cascade delete),200 - Deleted successfully,HIGH,Functional,Pending,,, Check related records deleted
Phase 2,2.9,/api/classes/:classId/enroll,POST,Enroll student in available class,200 - Enrolled successfully,CRITICAL,Functional,Pending,,, Check duplicate enrollment rejected
Phase 2,2.10,/api/classes/:classId/enroll,POST,Enroll when class is full,400 Bad Request,HIGH,Validation,Pending,,, Capacity check enforced
Phase 2,2.11,/api/classes/:classId/join-requests,GET,View join requests as teacher,200 - Array of pending requests,CRITICAL,Functional,Pending,,, Student role returns 403
